Cubic_capacity;Number_of_cylinders;Number_of_valves;Max_power;Max_torque;Compression_rate;Kerb_weight;Gasoline;Diesel;Gasoline_Electric;Diesel_Electric;Direct;Indirect;Turbocharger;Biturbo;Compressor;Naturally_aspirated;Manual;Automatic;AWD;FWD;RWD;FCU;FCH;FCM
2995;6;24;272;400;10,3;1625;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,7;6,6;8,1
2995;6;24;333;440;10,3;1650;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,7;6,6;8,1
4163;8;32;450;430;12,3;1690;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;14,4;8,3;10,5
1968;4;16;163;380;16,5;1445;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;5,4;3,8;4,4
1968;4;16;177;380;16,5;1550;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;6,4;4,7;5,3
1968;4;16;177;380;16,5;1470;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;5,5;4,3;4,7
1968;4;16;177;380;16,5;1510;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;6,1;4,5;5,1
1968;4;16;177;380;16,5;1445;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;5,6;4,1;4,7
2967;6;24;204;400;16,8;1540;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;5,5;4,6;4,9
2967;6;24;204;400;16,8;1515;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6,4;4,3;5,1
2967;6;24;245;500;16,8;1615;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;6,8;5,1;5,7
2967;6;24;245;500;16,8;1580;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;7,3;4,9;5,8
1984;4;16;180;320;9,6;1540;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;8,1;5,4;6,4
1984;4;16;180;320;9,6;1515;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;8,3;5,4;6,5
1984;4;16;211;350;9,6;1745;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;6,2;6,2;6,2
2773;6;24;204;280;12;1655;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;10,7;6,5;8
2773;6;24;204;280;12;1585;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;9,6;6,1;7,4
2773;6;24;204;280;12;1545;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;10,5;6;7,7
2995;6;24;300;440;10,3;1715;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,8;6,6;8,2
2995;6;24;310;440;10,3;1715;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,8;6,6;8,2
3993;8;32;420;550;10,1;1870;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;13,4;7,5;9,6
1968;4;16;136;350;16,5;1560;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;6;4,4;5
1968;4;16;136;350;16,5;1550;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6;4,4;4,9
1968;4;16;177;380;16,5;1560;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;6;4,4;5
1968;4;16;177;380;16,5;1550;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6;4,4;4,9
2967;6;24;204;400;16,8;1695;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;6,7;5;5,7
2967;6;24;204;400;16,8;1620;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;6;4,4;5
2967;6;24;204;400;16,8;1600;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6,5;4,4;5,3
2967;6;24;245;500;16,8;1695;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7,2;5,3;6
2967;6;24;313;650;16;1765;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;8;5,6;6,4
2995;6;24;300;440;10,3;1830;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;11,8;7,1;8,9
2967;6;24;204;400;16,8;1830;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7;5,5;6,1
2967;6;24;245;500;16,8;1830;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7,4;5,6;6,3
2967;6;24;313;650;16;1885;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;7,9;6;6,7
